Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
21.84,48.85,160,400,13183,20103,939.679,0.82,0.86,5.67,0.884,0.02,1
-5.211,54.67,402,416,12943,19853,939.215,1.16,1.2,7.95,1.24,0.028,1
28.18,44.99,184,415,12774,20536,937.416,1.64,1.71,11.32,1.765,0.04,0
-6.536,44.77,112,400,12783,20612,937.434,1.76,1.83,12.14,1.894,0.043,0
24.44,53.15,998,570,12827,19482,939.017,2.07,2.15,14.25,2.222,0.05,1
25.03,49.94,1155,627,12801,19439,939.03,2.3,2.39,15.85,2.472,0.056,1
9.616,52.74,1247,400,13002,19413,938.824,1.75,1.82,12.06,1.881,0.042,1
13.827,52.93,1300,419,12925,19396,938.734,1.59,1.65,10.92,1.703,0.038,1
20.086,46.54,187,437,12769,20539,937.414,1.66,1.72,11.39,1.777,0.04,0
2.41,55.28,877,647,12797,19505,939.075,2.25,2.34,15.51,2.418,0.055,1
19.862,51.43,1226,400,12928,19427,938.7,1.98,2.05,13.6,2.121,0.048,1
18.28,52.05,114,400,13176,20046,939.649,0.95,0.98,6.51,1.016,0.023,0
26.95,47.49,1147,508,12846,19446,938.878,1.91,1.99,13.16,2.052,0.046,1
20.577,47.46,1212,402,12919,19425,938.724,1.6,1.67,11.04,1.721,0.039,1
13.261,53.23,1065,614,12806,19460,939.053,1.77,1.84,12.17,1.898,0.043,1
22.51,51.78,325,400,13107,19877,939.663,1.35,1.41,9.31,1.452,0.033,1
20.01,61.21,0,400,13300,20259,939.677,2.56,2.66,17.64,2.751,0.062,1
19.437,47.37,11,400,13212,20140,939.613,0.92,0.96,6.33,0.987,0.022,0
22.14,48.76,136,400,13224,20082,939.687,1.63,1.69,11.22,1.749,0.04,1
19.07,54.83,203,400,13151,20067,939.576,0.6,0.63,4.16,0.648,0.015,1
21.91,49.76,4,400,13266,20232,939.733,2.43,2.52,16.72,2.607,0.059,1
20.825,47.89,1101,536,12842,19458,938.926,1.87,1.95,12.89,2.009,0.045,1
12.041,47.34,1178,425,12874,19426,938.813,1.47,1.53,10.12,1.579,0.036,1
28.76,42.56,189,431,12772,20532,937.363,1.77,1.84,12.19,1.9,0.043,0
20.252,48.66,203,445,12767,20528,937.377,1.62,1.69,11.17,1.742,0.039,0
-4.082,49.81,296,400,13124,19972,939.426,0.39,0.4,2.66,0.414,0.009,1
17.366,47.37,1128,413,12908,19456,938.728,2.1,2.18,14.42,2.249,0.051,1
55.92,19.62,60000,14732,11138,16183,936.78,11534.4,26329.21,43343.35,29536.094,14204.547,0
-17.598,48.38,1480,436,12962,19357,938.698,1.89,1.97,13.02,2.031,0.046,1
20.432,28.81,3386,400,13100,19763,936.875,0.72,0.74,4.93,0.769,0.017,0
27.05,47.24,1128,474,12860,19439,938.93,1.63,1.69,11.2,1.746,0.039,1
24.61,53.13,1151,400,12888,19437,938.769,1.77,1.84,12.16,1.896,0.043,1
26.88,43.61,82,411,12777,20655,937.491,1.64,1.71,11.31,1.764,0.04,0
20.773,47.77,1097,532,12840,19462,938.923,2.44,2.54,16.81,2.621,0.059,1
26.05,48.05,155,429,12775,20555,937.355,1.56,1.62,10.71,1.67,0.038,0
-16.243,53.61,1308,400,12991,19397,938.717,1.75,1.81,12.02,1.874,0.042,1
17.64,50.14,26,400,13133,20028,939.627,0.84,0.87,5.77,0.9,0.02,0
21.28,61.29,0,400,13447,20435,939.626,4.86,5.05,33.42,5.212,0.118,1
20.09,63.79,645,556,12861,19622,939.209,3.1,3.22,21.31,3.323,0.075,1
26.19,47.23,171,443,12765,20547,937.281,1.89,1.97,13.03,2.032,0.046,0
